created_by,created_on,data,id
2023-06-08 12:49:11.097166,2023-06-08 12:49:11.097150,"{""base"":""stations"",""city"":""Gorkha"",""clouds"":{""all"":65},""cod"":200,""coord"":{""lat"":28,""lon"":84.6333},""dt"":1686228551,""id"":1283378,""main"":{""feels_like"":27.03,""grnd_level"":855,""humidity"":21,""pressure"":999,""sea_level"":999,""temp"":28.38,""temp_max"":28.38,""temp_min"":28.38},""name"":""Gorkha Municipality"",""sys"":{""country"":""NP"",""sunrise"":1686180281,""sunset"":1686230183,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04d"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":132,""gust"":1.19,""speed"":0.89}}",a6acb625-360a-47fb-a005-4fdd020ba4cc
2023-06-08 14:51:40.241060,2023-06-08 14:51:40.241044,"{""base"":""stations"",""city"":""Gorkha"",""clouds"":{""all"":78},""cod"":200,""coord"":{""lat"":28,""lon"":84.6333},""dt"":1686235900,""id"":1283378,""main"":{""feels_like"":26.04,""grnd_level"":855,""humidity"":24,""pressure"":1000,""sea_level"":1000,""temp"":26.04,""temp_max"":26.04,""temp_min"":26.04},""name"":""Gorkha Municipality"",""sys"":{""country"":""NP"",""sunrise"":1686180281,""sunset"":1686230183,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":44,""gust"":1.52,""speed"":1.45}}",13ab77d9-2f56-473c-b576-8771c5a48635
2023-06-08 15:52:56.072083,2023-06-08 15:52:56.072066,"{""base"":""stations"",""city"":""Gorkha"",""clouds"":{""all"":78},""cod"":200,""coord"":{""lat"":28,""lon"":84.6333},""dt"":1686239576,""id"":1283378,""main"":{""feels_like"":24.6,""grnd_level"":856,""humidity"":25,""pressure"":1001,""sea_level"":1001,""temp"":25.36,""temp_max"":25.36,""temp_min"":25.36},""name"":""Gorkha Municipality"",""sys"":{""country"":""NP"",""sunrise"":1686180281,""sunset"":1686230183,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":45,""gust"":1.62,""speed"":1.41}}",f159e093-0337-4331-bee3-cee36f2c74d3
2023-06-08 16:54:31.331144,2023-06-08 16:54:31.331119,"{""base"":""stations"",""city"":""Gorkha"",""clouds"":{""all"":76},""cod"":200,""coord"":{""lat"":28,""lon"":84.6333},""dt"":1686243271,""id"":1283378,""main"":{""feels_like"":23.43,""grnd_level"":856,""humidity"":26,""pressure"":1002,""sea_level"":1002,""temp"":24.27,""temp_max"":24.27,""temp_min"":24.27},""name"":""Gorkha Municipality"",""sys"":{""country"":""NP"",""sunrise"":1686180281,""sunset"":1686230183,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":38,""gust"":1.44,""speed"":1.32}}",c1e2002f-1625-4453-adce-0a55b11fb19c
2023-06-08 13:50:23.287729,2023-06-08 13:50:23.287712,"{""base"":""stations"",""city"":""Gorkha"",""clouds"":{""all"":77},""cod"":200,""coord"":{""lat"":28,""lon"":84.6333},""dt"":1686232223,""id"":1283378,""main"":{""feels_like"":26.19,""grnd_level"":855,""humidity"":22,""pressure"":1000,""sea_level"":1000,""temp"":27.07,""temp_max"":27.07,""temp_min"":27.07},""name"":""Gorkha Municipality"",""sys"":{""country"":""NP"",""sunrise"":1686180281,""sunset"":1686230183,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":53,""gust"":1.54,""speed"":1.22}}",0455f39a-6905-49fb-9754-ba475ea49640
2023-06-08 13:50:32.007563,2023-06-08 13:50:32.007548,"{""base"":""stations"",""city"":""Biratnagar"",""clouds"":{""all"":100},""cod"":200,""coord"":{""lat"":26.4831,""lon"":87.2834},""dt"":1686232231,""id"":1283582,""main"":{""feels_like"":35.47,""grnd_level"":988,""humidity"":23,""pressure"":996,""sea_level"":996,""temp"":36.61,""temp_max"":36.61,""temp_min"":36.61},""name"":""Biratnagar"",""sys"":{""country"":""NP"",""sunrise"":1686179848,""sunset"":1686229344,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""overcast clouds"",""icon"":""04n"",""id"":804,""main"":""Clouds""}],""wind"":{""deg"":116,""gust"":6.91,""speed"":3.84}}",0455f39a-6905-49fb-9754-ba475ea49640
2023-06-08 12:49:19.070372,2023-06-08 12:49:19.070355,"{""base"":""stations"",""city"":""Biratnagar"",""clouds"":{""all"":100},""cod"":200,""coord"":{""lat"":26.4831,""lon"":87.2834},""dt"":1686228559,""id"":1283582,""main"":{""feels_like"":37.26,""grnd_level"":987,""humidity"":19,""pressure"":996,""sea_level"":996,""temp"":38.64,""temp_max"":38.64,""temp_min"":38.64},""name"":""Biratnagar"",""sys"":{""country"":""NP"",""sunrise"":1686179848,""sunset"":1686229344,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""overcast clouds"",""icon"":""04d"",""id"":804,""main"":""Clouds""}],""wind"":{""deg"":131,""gust"":6.57,""speed"":4}}",a6acb625-360a-47fb-a005-4fdd020ba4cc
2023-06-08 14:51:55.057616,2023-06-08 14:51:55.057601,"{""base"":""stations"",""city"":""Biratnagar"",""clouds"":{""all"":100},""cod"":200,""coord"":{""lat"":26.4831,""lon"":87.2834},""dt"":1686235915,""id"":1283582,""main"":{""feels_like"":33.96,""grnd_level"":989,""humidity"":25,""pressure"":997,""sea_level"":997,""temp"":35.17,""temp_max"":35.17,""temp_min"":35.17},""name"":""Biratnagar"",""sys"":{""country"":""NP"",""sunrise"":1686179848,""sunset"":1686229344,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""overcast clouds"",""icon"":""04n"",""id"":804,""main"":""Clouds""}],""wind"":{""deg"":101,""gust"":4.37,""speed"":2.95}}",13ab77d9-2f56-473c-b576-8771c5a48635
2023-06-08 16:54:47.926948,2023-06-08 16:54:47.926932,"{""base"":""stations"",""city"":""Biratnagar"",""clouds"":{""all"":100},""cod"":200,""coord"":{""lat"":26.4831,""lon"":87.2834},""dt"":1686243287,""id"":1283582,""main"":{""feels_like"":33.55,""grnd_level"":990,""humidity"":29,""pressure"":999,""sea_level"":999,""temp"":34.33,""temp_max"":34.33,""temp_min"":34.33},""name"":""Biratnagar"",""sys"":{""country"":""NP"",""sunrise"":1686179848,""sunset"":1686229344,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""overcast clouds"",""icon"":""04n"",""id"":804,""main"":""Clouds""}],""wind"":{""deg"":99,""gust"":9.2,""speed"":4.48}}",c1e2002f-1625-4453-adce-0a55b11fb19c
2023-06-08 11:47:58.425605,2023-06-08 11:47:58.425586,"{""base"":""stations"",""city"":""Gorkha"",""clouds"":{""all"":18},""cod"":200,""coord"":{""lat"":28,""lon"":84.6333},""dt"":1686224878,""id"":1283378,""main"":{""feels_like"":30.39,""grnd_level"":856,""humidity"":16,""pressure"":998,""sea_level"":998,""temp"":32.64,""temp_max"":32.64,""temp_min"":32.64},""name"":""Gorkha Municipality"",""sys"":{""country"":""NP"",""sunrise"":1686180281,""sunset"":1686230183,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""few clouds"",""icon"":""02d"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":189,""gust"":4.1,""speed"":2.9}}",bcfac20b-74c3-4ec9-aa9f-4c700de48d95
2023-06-08 15:53:04.439199,2023-06-08 15:53:04.439182,"{""base"":""stations"",""city"":""Biratnagar"",""clouds"":{""all"":100},""cod"":200,""coord"":{""lat"":26.4831,""lon"":87.2834},""dt"":1686239584,""id"":1283582,""main"":{""feels_like"":33.68,""grnd_level"":990,""humidity"":27,""pressure"":998,""sea_level"":998,""temp"":34.69,""temp_max"":34.69,""temp_min"":34.69},""name"":""Biratnagar"",""sys"":{""country"":""NP"",""sunrise"":1686179848,""sunset"":1686229344,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""overcast clouds"",""icon"":""04n"",""id"":804,""main"":""Clouds""}],""wind"":{""deg"":87,""gust"":3.9,""speed"":2.41}}",f159e093-0337-4331-bee3-cee36f2c74d3
2023-06-08 10:46:47.732731,2023-06-08 10:46:47.732715,"{""base"":""stations"",""city"":""Gorkha"",""clouds"":{""all"":7},""cod"":200,""coord"":{""lat"":28,""lon"":84.6333},""dt"":1686221207,""id"":1283378,""main"":{""feels_like"":32.2,""grnd_level"":856,""humidity"":14,""pressure"":997,""sea_level"":997,""temp"":34.68,""temp_max"":34.68,""temp_min"":34.68},""name"":""Gorkha Municipality"",""sys"":{""country"":""NP"",""sunrise"":1686180281,""sunset"":1686230183,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""clear sky"",""icon"":""01d"",""id"":800,""main"":""Clear""}],""wind"":{""deg"":202,""gust"":3.56,""speed"":5.33}}",44c1bef7-b639-44e2-adad-9a50ccb9cab0
2023-06-08 11:48:07.587415,2023-06-08 11:48:07.587393,"{""base"":""stations"",""city"":""Biratnagar"",""clouds"":{""all"":16},""cod"":200,""coord"":{""lat"":26.4831,""lon"":87.2834},""dt"":1686224887,""id"":1283582,""main"":{""feels_like"":41.24,""grnd_level"":986,""humidity"":15,""pressure"":995,""sea_level"":995,""temp"":42.6,""temp_max"":42.6,""temp_min"":42.6},""name"":""Biratnagar"",""sys"":{""country"":""NP"",""sunrise"":1686179848,""sunset"":1686229344,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""few clouds"",""icon"":""02d"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":133,""gust"":3.8,""speed"":4.24}}",bcfac20b-74c3-4ec9-aa9f-4c700de48d95
2023-06-08 11:47:29.518356,2023-06-08 11:47:29.518332,"{""base"":""stations"",""city"":""Pokhara"",""clouds"":{""all"":37},""cod"":200,""coord"":{""lat"":28.2333,""lon"":83.9833},""dt"":1686224849,""id"":1282898,""main"":{""feels_like"":31.76,""grnd_level"":905,""humidity"":21,""pressure"":1001,""sea_level"":1001,""temp"":33.72,""temp_max"":33.72,""temp_min"":33.72},""name"":""Pokhara"",""sys"":{""country"":""NP"",""sunrise"":1686180406,""sunset"":1686230370,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":7,""gust"":3.1,""speed"":2.47}}",bcfac20b-74c3-4ec9-aa9f-4c700de48d95
2023-06-08 10:46:20.353358,2023-06-08 10:46:20.353341,"{""base"":""stations"",""city"":""Pokhara"",""clouds"":{""all"":36},""cod"":200,""coord"":{""lat"":28.2333,""lon"":83.9833},""dt"":1686221180,""id"":1282898,""main"":{""feels_like"":33.81,""grnd_level"":905,""humidity"":17,""pressure"":1000,""sea_level"":1000,""temp"":36.01,""temp_max"":36.01,""temp_min"":36.01},""name"":""Pokhara"",""sys"":{""country"":""NP"",""sunrise"":1686180406,""sunset"":1686230370,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":7,""gust"":2.85,""speed"":2.33}}",44c1bef7-b639-44e2-adad-9a50ccb9cab0
2023-06-08 12:48:43.724593,2023-06-08 12:48:43.724577,"{""base"":""stations"",""city"":""Pokhara"",""clouds"":{""all"":35},""cod"":200,""coord"":{""lat"":28.2333,""lon"":83.9833},""dt"":1686228523,""id"":1282898,""main"":{""feels_like"":28.9,""grnd_level"":905,""humidity"":26,""pressure"":1002,""sea_level"":1002,""temp"":30.46,""temp_max"":30.46,""temp_min"":30.46},""name"":""Pokhara"",""sys"":{""country"":""NP"",""sunrise"":1686180406,""sunset"":1686230370,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":355,""gust"":2.16,""speed"":2.4}}",a6acb625-360a-47fb-a005-4fdd020ba4cc
2023-06-08 16:53:43.130309,2023-06-08 16:53:43.130284,"{""base"":""stations"",""city"":""Pokhara"",""clouds"":{""all"":43},""cod"":200,""coord"":{""lat"":28.2333,""lon"":83.9833},""dt"":1686243223,""id"":1282898,""main"":{""feels_like"":26.65,""grnd_level"":906,""humidity"":29,""pressure"":1005,""sea_level"":1005,""temp"":26.65,""temp_max"":26.65,""temp_min"":26.65},""name"":""Pokhara"",""sys"":{""country"":""NP"",""sunrise"":1686180406,""sunset"":1686230370,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""scattered clouds"",""icon"":""03n"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":357,""gust"":3.3,""speed"":3.58}}",c1e2002f-1625-4453-adce-0a55b11fb19c
2023-06-08 10:46:57.147434,2023-06-08 10:46:57.147420,"{""base"":""stations"",""city"":""Biratnagar"",""clouds"":{""all"":1},""cod"":200,""coord"":{""lat"":26.4831,""lon"":87.2834},""dt"":1686221217,""id"":1283582,""main"":{""feels_like"":42.47,""grnd_level"":986,""humidity"":13,""pressure"":994,""sea_level"":994,""temp"":44.2,""temp_max"":44.2,""temp_min"":44.2},""name"":""Biratnagar"",""sys"":{""country"":""NP"",""sunrise"":1686179848,""sunset"":1686229344,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""clear sky"",""icon"":""01d"",""id"":800,""main"":""Clear""}],""wind"":{""deg"":124,""gust"":2.81,""speed"":2.08}}",44c1bef7-b639-44e2-adad-9a50ccb9cab0
2023-06-08 14:51:13.071043,2023-06-08 14:51:13.071018,"{""base"":""stations"",""city"":""Pokhara"",""clouds"":{""all"":63},""cod"":200,""coord"":{""lat"":28.2333,""lon"":83.9833},""dt"":1686235871,""id"":1282898,""main"":{""feels_like"":27.04,""grnd_level"":906,""humidity"":27,""pressure"":1003,""sea_level"":1003,""temp"":28.1,""temp_max"":28.1,""temp_min"":28.1},""name"":""Pokhara"",""sys"":{""country"":""NP"",""sunrise"":1686180406,""sunset"":1686230370,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":359,""gust"":3.27,""speed"":3.21}}",13ab77d9-2f56-473c-b576-8771c5a48635
2023-06-08 13:49:55.063614,2023-06-08 13:49:55.063598,"{""base"":""stations"",""city"":""Pokhara"",""clouds"":{""all"":54},""cod"":200,""coord"":{""lat"":28.2333,""lon"":83.9833},""dt"":1686232195,""id"":1282898,""main"":{""feels_like"":27.55,""grnd_level"":905,""humidity"":27,""pressure"":1002,""sea_level"":1002,""temp"":28.79,""temp_max"":28.79,""temp_min"":28.79},""name"":""Pokhara"",""sys"":{""country"":""NP"",""sunrise"":1686180406,""sunset"":1686230370,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":357,""gust"":3.25,""speed"":3.22}}",0455f39a-6905-49fb-9754-ba475ea49640
2023-06-08 15:52:31.484198,2023-06-08 15:52:31.484176,"{""base"":""stations"",""city"":""Pokhara"",""clouds"":{""all"":53},""cod"":200,""coord"":{""lat"":28.2333,""lon"":83.9833},""dt"":1686239406,""id"":1282898,""main"":{""feels_like"":26.36,""grnd_level"":906,""humidity"":29,""pressure"":1004,""sea_level"":1004,""temp"":26.96,""temp_max"":26.96,""temp_min"":26.96},""name"":""Pokhara"",""sys"":{""country"":""NP"",""sunrise"":1686180406,""sunset"":1686230370,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":359,""gust"":3.29,""speed"":3.49}}",f159e093-0337-4331-bee3-cee36f2c74d3
2023-06-08 11:47:40.836165,2023-06-08 11:47:40.836148,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686224860,""id"":1282946,""main"":{""feels_like"":30.05,""grnd_level"":null,""humidity"":40,""pressure"":1007,""sea_level"":null,""temp"":30.31,""temp_max"":30.31,""temp_min"":29.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":290,""gust"":null,""speed"":3.6}}",bcfac20b-74c3-4ec9-aa9f-4c700de48d95
2023-06-08 12:48:53.658450,2023-06-08 12:48:53.658434,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686228533,""id"":1282946,""main"":{""feels_like"":29.87,""grnd_level"":null,""humidity"":44,""pressure"":1008,""sea_level"":null,""temp"":29.75,""temp_max"":29.96,""temp_min"":29.75},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":290,""gust"":null,""speed"":3.6}}",a6acb625-360a-47fb-a005-4fdd020ba4cc
2023-06-08 10:46:32.204903,2023-06-08 10:46:32.204885,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686221192,""id"":1282946,""main"":{""feels_like"":30.18,""grnd_level"":null,""humidity"":41,""pressure"":1007,""sea_level"":null,""temp"":30.31,""temp_max"":30.96,""temp_min"":30.31},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":280,""gust"":null,""speed"":4.12}}",44c1bef7-b639-44e2-adad-9a50ccb9cab0
2023-06-08 13:50:05.494067,2023-06-08 13:50:05.494050,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":75},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686232205,""id"":1282946,""main"":{""feels_like"":28.99,""grnd_level"":null,""humidity"":48,""pressure"":1009,""sea_level"":null,""temp"":28.64,""temp_max"":28.64,""temp_min"":27.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":200,""gust"":null,""speed"":3.6}}",0455f39a-6905-49fb-9754-ba475ea49640
2023-06-08 14:51:22.912692,2023-06-08 14:51:22.912678,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":75},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686235882,""id"":1282946,""main"":{""feels_like"":27.57,""grnd_level"":null,""humidity"":53,""pressure"":1009,""sea_level"":null,""temp"":26.97,""temp_max"":26.97,""temp_min"":26.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":100,""gust"":null,""speed"":3.6}}",13ab77d9-2f56-473c-b576-8771c5a48635
2023-06-08 16:54:00.651966,2023-06-08 16:54:00.651940,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":20},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686243240,""id"":1282946,""main"":{""feels_like"":25.38,""grnd_level"":null,""humidity"":57,""pressure"":1011,""sea_level"":null,""temp"":25.31,""temp_max"":25.31,""temp_min"":24.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""few clouds"",""icon"":""02n"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":90,""gust"":null,""speed"":3.09}}",c1e2002f-1625-4453-adce-0a55b11fb19c
2023-06-08 15:52:40.212936,2023-06-08 15:52:40.212920,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":20},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686239560,""id"":1282946,""main"":{""feels_like"":25.96,""grnd_level"":null,""humidity"":56,""pressure"":1010,""sea_level"":null,""temp"":25.86,""temp_max"":25.86,""temp_min"":24.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""few clouds"",""icon"":""02n"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":90,""gust"":null,""speed"":3.6}}",f159e093-0337-4331-bee3-cee36f2c74d3
2023-06-08 11:47:49.987069,2023-06-08 11:47:49.987044,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686224869,""id"":1282682,""main"":{""feels_like"":30.25,""grnd_level"":null,""humidity"":40,""pressure"":1007,""sea_level"":null,""temp"":30.47,""temp_max"":30.47,""temp_min"":30.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":290,""gust"":null,""speed"":3.6}}",bcfac20b-74c3-4ec9-aa9f-4c700de48d95
2023-06-08 12:49:02.289313,2023-06-08 12:49:02.289296,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686228409,""id"":1282682,""main"":{""feels_like"":30.07,""grnd_level"":null,""humidity"":44,""pressure"":1008,""sea_level"":null,""temp"":29.91,""temp_max"":30.12,""temp_min"":29.91},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":290,""gust"":null,""speed"":3.6}}",a6acb625-360a-47fb-a005-4fdd020ba4cc
2023-06-08 10:46:40.234785,2023-06-08 10:46:40.234770,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686221130,""id"":1282682,""main"":{""feels_like"":30.38,""grnd_level"":null,""humidity"":41,""pressure"":1008,""sea_level"":null,""temp"":30.47,""temp_max"":31.12,""temp_min"":30.47},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":280,""gust"":null,""speed"":4.12}}",44c1bef7-b639-44e2-adad-9a50ccb9cab0
2023-06-08 13:50:14.599840,2023-06-08 13:50:14.599816,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":75},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686232006,""id"":1282682,""main"":{""feels_like"":29.18,""grnd_level"":null,""humidity"":48,""pressure"":1009,""sea_level"":null,""temp"":28.8,""temp_max"":28.8,""temp_min"":28.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":200,""gust"":null,""speed"":3.6}}",0455f39a-6905-49fb-9754-ba475ea49640
2023-06-08 14:51:31.169627,2023-06-08 14:51:31.169611,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":75},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686235593,""id"":1282682,""main"":{""feels_like"":27.74,""grnd_level"":null,""humidity"":53,""pressure"":1009,""sea_level"":null,""temp"":27.13,""temp_max"":27.13,""temp_min"":27.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":100,""gust"":null,""speed"":3.6}}",13ab77d9-2f56-473c-b576-8771c5a48635
2023-06-08 16:54:14.636656,2023-06-08 16:54:14.636636,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":20},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686243254,""id"":1282682,""main"":{""feels_like"":25.56,""grnd_level"":null,""humidity"":57,""pressure"":1011,""sea_level"":null,""temp"":25.47,""temp_max"":25.47,""temp_min"":25.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""few clouds"",""icon"":""02n"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":90,""gust"":null,""speed"":3.09}}",c1e2002f-1625-4453-adce-0a55b11fb19c
2023-06-08 15:52:48.178965,2023-06-08 15:52:48.178949,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":20},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686239513,""id"":1282682,""main"":{""feels_like"":26.02,""grnd_level"":null,""humidity"":56,""pressure"":1010,""sea_level"":null,""temp"":26.02,""temp_max"":26.02,""temp_min"":25.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""few clouds"",""icon"":""02n"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":90,""gust"":null,""speed"":3.6}}",f159e093-0337-4331-bee3-cee36f2c74d3
